Carimbo de data/hora,Em qual período você ingressou na Universidade?,Selecione abaixo as disciplinas que você já cursou ou está cursando atualmente,Você participou de projeto de disciplina em grupo no regime presencial?,Você participou em projeto de disciplina em grupo no regime remoto?,Qual foi a quantidade de membros do maior projeto em grupo que você participou em disciplinas da Universidade?,"Conflitos sobre prioridades do projeto, ou seja, sobre quais atividades e tarefas devem ser executadas e em que sequência.","Conflitos sobre gerenciamento, ou seja, sobre a definição da hierarquia, das responsabilidades, do plano de execução, do procedimento de comunicação de atividades, etc.","Conflitos sobre questões técnicas, ou seja, sobre quais tecnologias, algoritmos e otimizações utilizar.","Conflito sobre prazos, ou seja, sobre a duração e data de entrega de tarefas do projeto.","Conflitos sobre personalidades, ou seja, centrados nas diferenças interpessoais do grupo.",Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [1º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [2º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [3º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [4º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [5º],"Confronto (Confrontation): reconhecendo que a discordância existe e considerando os requisitos, debater para escolher a solução que mais está de acordo.","Negociação (Give and Take): reconhecendo que a discordância existe, produzir uma solução combinando partes das propostas dos membros envolvidos.","Evasão (Withdrawal): ignorar o problema ou reconhecer que ele existe, mas considerar que não vale o esforço da resolução.","Apaziguamento (Smoothing): reconhecendo que a discordância existe, escolher a solução daqueles mais envolvidos com a tarefa.","Imposição (Forcing): reconhecendo que a discordância existe, um membro de maior hierarquia (ex. gerente) impõe a solução.",Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [1º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [2º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [3º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [4º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [5º]
10/08/2021 15:00:39,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,1,2,4,4,4,Personalidade,Gerenciamento,Prazos,Questões técnicas,Prioridades,5,5,4,3,2,Negociação,Confronto,Apaziguamento,Evasão,Imposição
10/08/2021 15:07:04,2019.2,Projeto de Software (PSOFT),Sim,Sim,5,3,1,2,4,4,Personalidade,Gerenciamento,Prazos,Questões técnicas,Prioridades,4,1,4,4,4,Confronto,Evasão,Imposição,Negociação,Apaziguamento
10/08/2021 15:09:56,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP)",Sim,Sim,5,4,2,1,1,1,Prioridades,Gerenciamento,Questões técnicas,Prazos,Personalidade,5,4,3,5,1,Apaziguamento,Confronto,Negociação,Evasão,Imposição
10/08/2021 15:11:21,2016.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,2,4,4,5,5,Personalidade,Prazos,Gerenciamento,Questões técnicas,Prioridades,2,4,5,3,4,Evasão,Apaziguamento,Negociação,Imposição,Confronto
10/08/2021 15:26:35,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,6,3,3,3,4,4,Personalidade,Prazos,Gerenciamento,Questões técnicas,Prioridades,4,4,2,4,4,Negociação,Apaziguamento,Imposição,Confronto,Evasão
10/08/2021 15:26:45,2016.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,4,4,3,4,1,Prioridades,Prazos,Gerenciamento,Questões técnicas,Personalidade,4,3,1,1,1,Confronto,Negociação,Apaziguamento,Imposição,Evasão
10/08/2021 15:27:33,2018.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,12,3,3,2,2,1,Personalidade,Prioridades,Prazos,Questões técnicas,Gerenciamento,5,5,3,5,1,Imposição,Evasão,Apaziguamento,Negociação,Confronto
10/08/2021 15:33:25,2018.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,1,1,4,2,3,Questões técnicas,Gerenciamento,Prioridades,Personalidade,Prazos,4,4,3,5,3,Apaziguamento,Imposição,Negociação,Evasão,Confronto
10/08/2021 15:49:16,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,11,2,2,3,4,2,Gerenciamento,Prioridades,Prazos,Questões técnicas,Personalidade,5,4,1,3,2,Confronto,Negociação,Apaziguamento,Imposição,Evasão
10/08/2021 17:47:11,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,10,1,3,3,2,1,Gerenciamento,Questões técnicas,Prazos,Prioridades,Personalidade,3,5,1,3,4,Negociação,Confronto,Imposição,Apaziguamento,Evasão
